iter	Passed	Remaining
0	1	189
1	3	184
2	5	171
3	6	163
4	8	161
5	10	161
6	12	160
7	13	157
8	15	157
9	17	154
10	18	152
11	20	150
12	22	148
13	23	146
14	25	144
15	27	142
16	29	141
17	30	140
18	32	138
19	34	136
20	35	134
21	37	132
22	39	131
23	40	129
24	42	127
25	44	125
26	45	123
27	47	121
28	48	119
29	50	118
30	52	116
31	53	114
32	55	112
33	57	111
34	59	109
35	60	108
36	62	106
37	64	104
38	65	102
39	67	101
40	69	99
41	69	96
42	71	94
43	73	93
44	74	91
45	76	89
46	78	88
47	80	86
48	81	85
49	83	83
50	84	81
51	86	80
52	88	78
53	90	77
54	91	75
55	93	73
56	94	71
57	96	69
58	98	68
59	99	66
60	101	64
61	103	63
62	104	61
63	106	59
64	107	58
65	109	56
66	111	54
67	112	53
68	114	51
69	116	49
70	118	48
71	120	46
72	122	45
73	123	43
74	125	41
75	127	40
76	128	38
77	130	36
78	132	35
79	134	33
80	136	31
81	137	30
82	139	28
83	140	26
84	142	25
85	144	23
86	145	21
87	147	20
88	149	18
89	151	16
90	153	15
91	154	13
92	156	11
93	158	10
94	159	8
95	161	6
96	163	5
97	165	3
98	166	1
99	168	0
